X,Y,fid,Objekt,icon_url
15.370938025231,46.187725438363,"1",Piškov hrib,./0.png
15.3744467491686,46.187878697045,"2",Puše,./0.png
15.3752491804758,46.197909427556,"3",Jedro,./0.png
15.3790172707788,46.1962263084386,"4",Kota 478,./0.png
15.3776515843244,46.1970992047602,"5",Domnevni stolp,./0.png
