qc_id,fid,grad,ime,opredelitev,površina,etaž,biv.etaž,bivalna površina,datacija,dimenzije,objava,oblika,icon_url
"0","1",Velesovo,,Jedro,,,,,,,,,./0.png
"1","2",Velesovo,V Johih,Gradiščanska,,,,,,,,,./0.png
"2","3",Bled,Na Turnu,,,,,,,,,,./0.png
"3","4",Bled,,Jedro,,,,,,,,,./0.png
